year,incid_year,not_year,n,avg_inc,avg_not
2000,15176,6422,46,329.9130434782609,139.6086956521739
2001,15411,6666,46,335.0217391304348,144.91304347826087
2002,15527,7444,46,337.54347826086956,161.82608695652175
2003,15757,8110,46,342.54347826086956,176.30434782608697
2004,15709,8220,46,341.5,178.69565217391303
2005,15569,7902,46,338.45652173913044,171.7826086956522
2006,15350,7979.3,46,333.69565217391306,173.4630434782609
2007,14896,7465.6,46,323.82608695652175,162.29565217391306
2008,14376.6,7962.2,46,312.53478260869565,173.09130434782608
2009,14107,7957.2,46,306.67391304347825,172.98260869565217
2010,13714,7739.8,46,298.1304347826087,168.25652173913045
2011,13286,7538.1,47,282.6808510638298,160.38510638297873
2012,12732,7162,47,270.8936170212766,152.38297872340425
2013,12244,6839,47,260.51063829787233,145.51063829787233
2014,11763,6561,47,250.27659574468086,139.59574468085106
2015,11284.8,6190.5,47,240.10212765957445,131.7127659574468
2016,10781,6061.6,47,229.38297872340425,128.97021276595746
2017,10402,5885.3,47,221.31914893617022,125.21914893617021
